status,retest_mode,direction,break_time,break_close,break_vwap,orb_high,orb_low,broken_level,move_time,move_price,move_excursion,move_excursion_orb_r,retest_time,retest_high,retest_low,retest_close,retest_vwap,rejection_time,rejection_open,rejection_high,rejection_low,rejection_close,entry_time,raw_entry_price,entry_price,stop_loss,risk,target,exit_time,raw_exit_price,exit_price,exit_reason,ambiguous,mfe,mae,mfe_r,mae_r,pnl_r,gross_pnl,costs,net_pnl,trade_date
TRADE,ORB_LEVEL,BUY,2026-08-10 09:55:00+05:30,1189.0,1180.8895706563633,1185.0,1175.2,1185.0,2026-08-10 10:20:00+05:30,1195.0,10.0,1.0204081632653108,2026-08-10 11:50:00+05:30,1188.5,1183.5,1184.3,1185.9614602544673,2026-08-10 13:30:00+05:30,1184.7,1185.4,1184.6,1185.3,2026-08-10 13:35:00+05:30,1185.3,1185.89265,1184.6,1.2926500000000942,1188.4779500000002,2026-08-10 13:35:00+05:30,1184.6,1184.0076999999999,STOP_LOSS,False,0.007350000000087675,1.3926500000000033,0.0056859938885909875,1.0773604610682719,-3.291571848528068,-1.8849500000001171,2.36990035,-4.254850350000117,2026-08-10
RETEST_NO_REJECTION,ORB_LEVEL,BUY,2026-08-11 09:30:00+05:30,,,,,,2026-08-11 09:35:00+05:30,,,,2026-08-11 12:10:00+05:30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2026-08-11
TRADE,ORB_VWAP_ZONE,SELL,2026-07-03 09:30:00+05:30,1051.5,1057.6590198862611,1068.7,1052.2,1052.2,2026-07-03 09:45:00+05:30,1042.0,10.200000000000045,0.6181818181818209,2026-07-03 10:50:00+05:30,1052.7,1049.0,1052.7,1051.4224550641518,2026-07-03 10:55:00+05:30,1052.7,1052.7,1050.1,1051.6,2026-07-03 11:00:00+05:30,1051.8,1051.2740999999999,1052.7,1.4259000000001834,1048.4222999999995,2026-07-03 11:00:00+05:30,1052.7,1053.2263500000001,STOP_LOSS,False,0.0,5.525900000000092,0.0,3.87537695490524,-2.8450455501786625,-1.9522500000002765,2.10450045,-4.056750450000276,2026-07-03
RETEST_NO_REJECTION,ORB_VWAP_ZONE,SELL,2026-07-06 09:50:00+05:30,,,,,,2026-07-06 11:10:00+05:30,,,,2026-07-06 15:05:00+05:30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2026-07-06
TRADE,ORB_VWAP_ZONE,SELL,2026-07-10 09:30:00+05:30,1066.2,1078.624983660407,1091.3,1069.2,1069.2,2026-07-10 09:35:00+05:30,1064.7,4.5,0.20361990950226327,2026-07-10 09:40:00+05:30,1070.4,1067.7,1068.8,1076.6928816720067,2026-07-10 09:50:00+05:30,1070.2,1070.9,1068.2,1068.7,2026-07-10 09:55:00+05:30,1068.7,1068.1656500000001,1070.9,2.7343499999999494,1062.6969500000002,2026-07-10 10:15:00+05:30,1070.9,1071.4354500000002,STOP_LOSS,False,2.1656500000001415,3.134349999999813,0.7920163841498643,1.1462870517672832,-1.9783133468649339,-3.269800000000032,2.1396011000000006,-5.409401100000032,2026-07-10
TRADE,ORB_VWAP_ZONE,SELL,2026-07-20 10:10:00+05:30,1090.4,1095.7049827638077,1103.8,1091.0,1091.0,2026-07-20 12:20:00+05:30,1083.2,7.7999999999999545,0.6093749999999986,2026-07-20 13:10:00+05:30,1091.0,1087.5,1090.9,1092.8955255753144,2026-07-20 13:15:00+05:30,1090.9,1091.3,1088.5,1088.6,2026-07-20 13:20:00+05:30,1088.6,1088.0557,1091.3,3.2443000000000666,1081.5670999999998,2026-07-20 13:45:00+05:30,1091.3,1091.84565,STOP_LOSS,False,0.0,3.844300000000203,0.0,1.1849397404679358,-1.8401045988348694,-3.78995000000009,2.17990135,-5.96985135000009,2026-07-20
TRADE,ORB_VWAP_ZONE,SELL,2026-07-21 09:45:00+05:30,1077.3,1086.4622647083281,1094.4,1078.0,1078.0,2026-07-21 10:50:00+05:30,1067.2,10.799999999999955,0.6585365853658472,2026-07-21 11:15:00+05:30,1078.0,1075.8,1076.7,1078.923188450442,2026-07-21 11:20:00+05:30,1076.8,1077.0,1075.2,1076.4,2026-07-21 11:25:00+05:30,1076.5,1075.96175,1077.0,1.0382500000000618,1073.8852499999998,2026-07-21 11:25:00+05:30,1077.0,1077.5385,STOP_LOSS,False,0.7617499999998927,1.638249999999971,0.7336864916926051,1.5778954972307955,-3.5928247050324607,-1.5767500000001746,2.15350025,-3.7302502500001746,2026-07-21
TRADE,ORB_VWAP_ZONE,SELL,2026-07-24 10:25:00+05:30,1022.2,1035.1288463637975,1042.6,1023.0,1023.0,2026-07-24 11:30:00+05:30,1013.9,9.100000000000023,0.4642857142857176,2026-07-24 11:40:00+05:30,1023.3,1017.5,1021.6,1029.6283535803914,2026-07-24 11:45:00+05:30,1022.0,1022.9,1021.0,1022.0,2026-07-24 11:50:00+05:30,1022.0,1021.489,1022.9,1.4109999999999445,1018.6670000000001,2026-07-24 11:50:00+05:30,1022.9,1023.41145,STOP_LOSS,False,0.0,2.4109999999999445,0.0,1.7087172218285183,-2.81172958894406,-1.9224499999999125,2.04490045,-3.9673504499999126,2026-07-24
TRADE,ORB_VWAP_ZONE,BUY,2026-07-28 09:30:00+05:30,1110.4,1106.0963272368172,1110.0,1097.0,1110.0,2026-07-28 12:10:00+05:30,1118.5,8.5,0.6538461538461539,2026-07-28 12:35:00+05:30,1112.1,1110.0,1112.0,1109.4329565379458,2026-07-28 12:40:00+05:30,1112.1,1112.8,1111.5,1112.0,2026-07-28 12:45:00+05:30,1112.0,1112.556,1111.5,1.05600000000004,1114.6680000000001,2026-07-28 12:45:00+05:30,1111.5,1110.94425,STOP_LOSS,False,0.04399999999986903,1.8559999999999945,0.04166666666654106,1.7575757575756858,-3.631865767045345,-1.611750000000029,2.2235002500000003,-3.8352502500000294,2026-07-28
TRADE,ORB_VWAP_ZONE,BUY,2026-07-29 10:20:00+05:30,1154.4,1144.4224880571182,1152.0,1128.4,1152.0,2026-07-29 11:20:00+05:30,1164.5,12.5,0.5296610169491546,2026-07-29 11:55:00+05:30,1154.7,1151.1,1154.4,1150.2645772601616,2026-07-29 12:00:00+05:30,1154.7,1155.8,1153.8,1155.3,2026-07-29 12:05:00+05:30,1155.3,1155.87765,1153.8,2.0776499999999487,1160.0329499999998,2026-07-29 12:20:00+05:30,1153.8,1153.2231,STOP_LOSS,False,0.4223500000000513,2.3776499999999032,0.20328255480955007,1.144393906577124,-2.3890697422569223,-2.654549999999972,2.30910075,-4.963650749999972,2026-07-29
TRADE,ORB_VWAP_ZONE,SELL,2026-08-05 09:50:00+05:30,1164.1,1169.2152121015347,1177.5,1165.4,1165.4,2026-08-05 10:05:00+05:30,1162.3,3.1000000000001364,0.2561983471074512,2026-08-05 10:10:00+05:30,1166.9,1163.5,1166.9,1168.3973421949534,2026-08-05 13:40:00+05:30,1166.1,1166.7,1164.1,1165.0,2026-08-05 13:45:00+05:30,1165.1,1164.5174499999998,1166.7,2.1825500000002194,1160.1523499999994,2026-08-05 14:35:00+05:30,1166.7,1167.2833500000002,STOP_LOSS,False,0.5174499999998261,2.2825500000001284,0.23708506105233515,1.0458179652241182,-2.3356627797758662,-2.765900000000329,2.3318008,-5.097700800000329,2026-08-05
TRADE,ORB_VWAP_ZONE,BUY,2026-08-07 09:30:00+05:30,1180.2,1173.1539770436432,1177.7,1155.6,1177.7,2026-08-07 09:50:00+05:30,1183.0,5.2999999999999545,0.23981900452488333,2026-08-07 10:00:00+05:30,1179.5,1177.4,1178.1,1176.5086750482535,2026-08-07 13:40:00+05:30,1177.8,1180.2,1177.8,1179.5,2026-08-07 13:45:00+05:30,1179.4,1179.9897,1177.8,2.18970000000013,1184.3691000000003,2026-08-07 13:45:00+05:30,1177.8,1177.2111,STOP_LOSS,False,0.0,2.18970000000013,0.0,1.0,-2.3454358131249906,-2.7786000000000968,2.3572008,-5.135800800000097,2026-08-07
TRADE,ORB_VWAP_ZONE,BUY,2026-08-10 09:55:00+05:30,1189.0,1180.8895706563633,1185.0,1175.2,1185.0,2026-08-10 10:20:00+05:30,1195.0,10.0,1.0204081632653108,2026-08-10 11:50:00+05:30,1188.5,1183.5,1184.3,1185.9614602544673,2026-08-10 13:30:00+05:30,1184.7,1185.4,1184.6,1185.3,2026-08-10 13:35:00+05:30,1185.3,1185.89265,1184.6,1.2926500000000942,1188.4779500000002,2026-08-10 13:35:00+05:30,1184.6,1184.0076999999999,STOP_LOSS,False,0.007350000000087675,1.3926500000000033,0.0056859938885909875,1.0773604610682719,-3.291571848528068,-1.8849500000001171,2.36990035,-4.254850350000117,2026-08-10
RETEST_NO_REJECTION,ORB_VWAP_ZONE,BUY,2026-08-11 09:30:00+05:30,,,,,,2026-08-11 09:35:00+05:30,,,,2026-08-11 09:40:00+05:30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2026-08-11
