trade_index,trade_date,direction,signal_time,entry_time,entry_price,risk,stop_loss,target,original_exit_time,original_exit_reason,initial_move_r,pullback_r,initial_move_reached,initial_move_time,initial_extreme_price,initial_extreme_r,pullback_detected,pullback_time,pullback_price,pullback_depth_r,target_after_pullback,target_after_pullback_time,target_before_pullback,stop_before_pullback,stop_after_pullback,valid_pullback_target,clean_pullback_target
14,2026-07-10,SELL,2026-07-10 10:30:00+05:30,2026-07-10 10:35:00+05:30,1066.96625,3.433750000000145,1070.4,1060.0987499999997,2026-07-10 10:40:00+05:30,STOP_LOSS,1.5,0.75,False,,,,False,,,,False,,False,False,False,False,False
14,2026-07-10,SELL,2026-07-10 10:30:00+05:30,2026-07-10 10:35:00+05:30,1066.96625,3.433750000000145,1070.4,1060.0987499999997,2026-07-10 10:40:00+05:30,STOP_LOSS,1.5,1.0,False,,,,False,,,,False,,False,False,False,False,False
15,2026-07-10,SELL,2026-07-10 11:50:00+05:30,2026-07-10 11:55:00+05:30,1067.36605,6.333949999999959,1073.7,1054.6981500000002,2026-07-10 13:10:00+05:30,STOP_LOSS,0.5,0.25,False,,,,False,,,,False,,False,False,False,False,False
15,2026-07-10,SELL,2026-07-10 11:50:00+05:30,2026-07-10 11:55:00+05:30,1067.36605,6.333949999999959,1073.7,1054.6981500000002,2026-07-10 13:10:00+05:30,STOP_LOSS,0.5,0.5,False,,,,False,,,,False,,False,False,False,False,False
15,2026-07-10,SELL,2026-07-10 11:50:00+05:30,2026-07-10 11:55:00+05:30,1067.36605,6.333949999999959,1073.7,1054.6981500000002,2026-07-10 13:10:00+05:30,STOP_LOSS,0.5,0.75,False,,,,False,,,,False,,False,False,False,False,False
15,2026-07-10,SELL,2026-07-10 11:50:00+05:30,2026-07-10 11:55:00+05:30,1067.36605,6.333949999999959,1073.7,1054.6981500000002,2026-07-10 13:10:00+05:30,STOP_LOSS,0.5,1.0,False,,,,False,,,,False,,False,False,False,False,False
15,2026-07-10,SELL,2026-07-10 11:50:00+05:30,2026-07-10 11:55:00+05:30,1067.36605,6.333949999999959,1073.7,1054.6981500000002,2026-07-10 13:10:00+05:30,STOP_LOSS,0.75,0.25,False,,,,False,,,,False,,False,False,False,False,False
15,2026-07-10,SELL,2026-07-10 11:50:00+05:30,2026-07-10 11:55:00+05:30,1067.36605,6.333949999999959,1073.7,1054.6981500000002,2026-07-10 13:10:00+05:30,STOP_LOSS,0.75,0.5,False,,,,False,,,,False,,False,False,False,False,False
15,2026-07-10,SELL,2026-07-10 11:50:00+05:30,2026-07-10 11:55:00+05:30,1067.36605,6.333949999999959,1073.7,1054.6981500000002,2026-07-10 13:10:00+05:30,STOP_LOSS,0.75,0.75,False,,,,False,,,,False,,False,False,False,False,False
15,2026-07-10,SELL,2026-07-10 11:50:00+05:30,2026-07-10 11:55:00+05:30,1067.36605,6.333949999999959,1073.7,1054.6981500000002,2026-07-10 13:10:00+05:30,STOP_LOSS,0.75,1.0,False,,,,False,,,,False,,False,False,False,False,False
15,2026-07-10,SELL,2026-07-10 11:50:00+05:30,2026-07-10 11:55:00+05:30,1067.36605,6.333949999999959,1073.7,1054.6981500000002,2026-07-10 13:10:00+05:30,STOP_LOSS,1.0,0.25,False,,,,False,,,,False,,False,False,False,False,False
15,2026-07-10,SELL,2026-07-10 11:50:00+05:30,2026-07-10 11:55:00+05:30,1067.36605,6.333949999999959,1073.7,1054.6981500000002,2026-07-10 13:10:00+05:30,STOP_LOSS,1.0,0.5,False,,,,False,,,,False,,False,False,False,False,False
15,2026-07-10,SELL,2026-07-10 11:50:00+05:30,2026-07-10 11:55:00+05:30,1067.36605,6.333949999999959,1073.7,1054.6981500000002,2026-07-10 13:10:00+05:30,STOP_LOSS,1.0,0.75,False,,,,False,,,,False,,False,False,False,False,False
15,2026-07-10,SELL,2026-07-10 11:50:00+05:30,2026-07-10 11:55:00+05:30,1067.36605,6.333949999999959,1073.7,1054.6981500000002,2026-07-10 13:10:00+05:30,STOP_LOSS,1.0,1.0,False,,,,False,,,,False,,False,False,False,False,False
15,2026-07-10,SELL,2026-07-10 11:50:00+05:30,2026-07-10 11:55:00+05:30,1067.36605,6.333949999999959,1073.7,1054.6981500000002,2026-07-10 13:10:00+05:30,STOP_LOSS,1.25,0.25,False,,,,False,,,,False,,False,False,False,False,False
15,2026-07-10,SELL,2026-07-10 11:50:00+05:30,2026-07-10 11:55:00+05:30,1067.36605,6.333949999999959,1073.7,1054.6981500000002,2026-07-10 13:10:00+05:30,STOP_LOSS,1.25,0.5,False,,,,False,,,,False,,False,False,False,False,False
15,2026-07-10,SELL,2026-07-10 11:50:00+05:30,2026-07-10 11:55:00+05:30,1067.36605,6.333949999999959,1073.7,1054.6981500000002,2026-07-10 13:10:00+05:30,STOP_LOSS,1.25,0.75,False,,,,False,,,,False,,False,False,False,False,False
15,2026-07-10,SELL,2026-07-10 11:50:00+05:30,2026-07-10 11:55:00+05:30,1067.36605,6.333949999999959,1073.7,1054.6981500000002,2026-07-10 13:10:00+05:30,STOP_LOSS,1.25,1.0,False,,,,False,,,,False,,False,False,False,False,False
15,2026-07-10,SELL,2026-07-10 11:50:00+05:30,2026-07-10 11:55:00+05:30,1067.36605,6.333949999999959,1073.7,1054.6981500000002,2026-07-10 13:10:00+05:30,STOP_LOSS,1.5,0.25,False,,,,False,,,,False,,False,False,False,False,False
15,2026-07-10,SELL,2026-07-10 11:50:00+05:30,2026-07-10 11:55:00+05:30,1067.36605,6.333949999999959,1073.7,1054.6981500000002,2026-07-10 13:10:00+05:30,STOP_LOSS,1.5,0.5,False,,,,False,,,,False,,False,False,False,False,False
15,2026-07-10,SELL,2026-07-10 11:50:00+05:30,2026-07-10 11:55:00+05:30,1067.36605,6.333949999999959,1073.7,1054.6981500000002,2026-07-10 13:10:00+05:30,STOP_LOSS,1.5,0.75,False,,,,False,,,,False,,False,False,False,False,False
15,2026-07-10,SELL,2026-07-10 11:50:00+05:30,2026-07-10 11:55:00+05:30,1067.36605,6.333949999999959,1073.7,1054.6981500000002,2026-07-10 13:10:00+05:30,STOP_LOSS,1.5,1.0,False,,,,False,,,,False,,False,False,False,False,False
